code_point_vente,predictions
20rhf,1.0
20r4m,0.9058530508119452
20rkz,0.831283539717919
20rjz,0.8154795439467754
20r5r,0.8129563457106898
20rkm,0.8129071730589283
20r2v,0.809752226145896
20rkk,0.8055693088933552
20p5p,0.7277445861932981
20pbd,0.7232819101150857
20nua,0.7224787267357573
20r3p,0.7197803708585094
20rhh,0.7187567995289583
59n92,0.7183941752373153
20n3x,0.7170201140665542
20pkx,0.716533833391968
20ntu,0.716136035063422
20r4z,0.7161086992479545
20nbj,0.7152999301569885
20rm2,0.7151463772362634
20rjh,0.7149713790993548
20n84,0.7134916820118669
20rm0,0.7133973729509719
20n7d,0.7102847593021835
20n96,0.6295698205713509
20n7r,0.6281143715337774
20pty,0.6269598225750199
20pk2,0.6262241778131207
20pfk,0.6238902372389727
20rmb,0.6237165613734114
20rjx,0.6234747916313531
20r4x,0.6226461864356132
20pm1,0.6186973126092145
20rk3,0.6186691652465572
20nh5,0.539224295127607
20nyc,0.5390629131659672
20r3u,0.5385548659084988
20rkj,0.5379809490335999
20r3a,0.5376288710998064
20rjk,0.5345245281990813
20r6a,0.5332054982942809
20nsb,0.4478674186604305
20rjp,0.4471666170630424
20ppy,0.44646292129291826
20ntn,0.4456951642704352
20p0d,0.44562890464862626
20r9x,0.4455873461919344
20ram,0.4451457609176085
20phh,0.44451238489002964
20r32,0.44447134057536647
20r2b,0.44432557159599906
20p1b,0.4441376091267567
20p4t,0.4439163118392338
20pvp,0.4434897623577973
20nkn,0.44311981195562083
20nh3,0.4424657960219017
20nsx,0.44224446020599023
20rh8,0.44206439080585275
20r1v,0.4416439699578902
20pxf,0.441530062195406
20rk1,0.4408319150186048
20pr2,0.43789840184668954
20pzs,0.4357168609110925
20pxm,0.43518435747151574
20uek,0.4266899656219794
20pm3,0.4248879024831482
20nvb,0.41573036425282284
20nvr,0.41328101727577876
20ppx,0.3683232335223222
20r4a,0.3638050589305288
20r34,0.36017704293963443
20nk6,0.3585245129599237
20r82,0.35640060922087385
20nny,0.3542022690061388
20r81,0.35184664342803645
20phk,0.3461616595226361
20nzm,0.3449377143875695
20pkv,0.3347588499552569
20nwm,0.3243856920097939
20p4a,0.2796883038025686
20nyy,0.2711471993024383
20pr1,0.2690365681222352
20ncs,0.2678888363977957
20nmw,0.267311342346497
20pjc,0.26698085153287177
20p5h,0.2666713994019121
20nrr,0.26655108011674444
20r98,0.26602878091079735
20pm9,0.2657490484226883
20puw,0.26532783186515063
20uj6,0.2651397517835764
20ps7,0.26508808320307276
20rdr,0.26507421876326454
20pbc,0.265004700069677
20pd2,0.2647564213225655
79n42,0.26460830133165514
20pbx,0.26446294325405784
20p0m,0.26390939264738666
20pvr,0.2637924535895858
20pp5,0.2636383647821737
20pwz,0.2635975298592781
20pjb,0.2634721876943236
20pf5,0.26299214417308286
20ny4,0.2628031983420758
20nb8,0.2627993161151442
20pvs,0.26164740822743104
20p7b,0.2551532662129387
20ppt,0.2538046346340114
20r24,0.2401866472122175
20rbs,0.18224755317967664
20ppu,0.17827482912442058
20pct,0.17807308898536434
20pa0,0.1763724862701181
20ndn,0.17594022423551967
20ueh,0.17410908813568926
20n7m,0.17333526129999652
83n25,0.17246366729298793
20nzy,0.17229491747194978
20n5h,0.17216522841760923
20pym,0.16916049356538082
20pf3,0.16451997515418973
20pky,0.16416140208927826
20nx4,0.14209220724129662
20n4d,0.0
